"id","schema","table_name","variable_name","collection","agency","description"
1,"clean_read_COR","cor_mmc_pricing_20170420","direct_cost","Sentencing and remand","Corrections",NA
2,"clean_read_COR","cor_mmc_pricing_20170420","end_date","Sentencing and remand","Corrections",NA
3,"clean_read_COR","cor_mmc_pricing_20170420","mmc_code","Sentencing and remand","Corrections",NA
4,"clean_read_COR","cor_mmc_pricing_20170420","start_date","Sentencing and remand","Corrections",NA
5,"clean_read_COR","cor_mmc_pricing_20170420","total_cost","Sentencing and remand","Corrections",NA
6,"clean_read_COR","cor_mmc_pricing_20170720","direct_cost","Sentencing and remand","Corrections",NA
7,"clean_read_COR","cor_mmc_pricing_20170720","end_date","Sentencing and remand","Corrections",NA
8,"clean_read_COR","cor_mmc_pricing_20170720","mmc_code","Sentencing and remand","Corrections",NA
9,"clean_read_COR","cor_mmc_pricing_20170720","start_date","Sentencing and remand","Corrections",NA
10,"clean_read_COR","cor_mmc_pricing_20170720","total_cost","Sentencing and remand","Corrections",NA
11,"clean_read_CUS","cus_migration_1216class","cus_jou_actual_date","Border movements","Customs",NA
12,"clean_read_CUS","cus_migration_1216class","cus_jou_direction_code","Border movements","Customs",NA
13,"clean_read_CUS","cus_migration_1216class","snz_1216_passenger_type","Border movements","Customs",NA
14,"clean_read_CUS","cus_migration_1216class","snz_cus_journey_uid","Border movements","Customs",NA
15,"clean_read_CUS","cus_migration_1216class","snz_cus_movement_uid","Border movements","Customs",NA
16,"clean_read_CUS","cus_migration_1216class","snz_itm_uid","Border movements","Customs",NA
17,"clean_read_CUS","long_term_migrant_status_20191812","is_long_term_mig","Border movements","Customs",NA
18,"clean_read_CUS","long_term_migrant_status_20191812","snz_journey_id","Border movements","Customs",NA
19,"clean_read_DIA","bir_parent_dia_uid_mapping","from_dia_uid","Births, Deaths, Marriages, and Civil unions","DIA",NA
20,"clean_read_DIA","bir_parent_dia_uid_mapping","to_dia_uid","Births, Deaths, Marriages, and Civil unions","DIA",NA
21,"clean_read_DIA","bir_parent_dia_uid_mapping151012","from_dia_uid","Births, Deaths, Marriages, and Civil unions","DIA",NA
22,"clean_read_DIA","bir_parent_dia_uid_mapping151012","to_dia_uid","Births, Deaths, Marriages, and Civil unions","DIA",NA
23,"clean_read_DIA","clc_deaths","exact_match","Births, Deaths, Marriages, and Civil unions","DIA",NA
24,"clean_read_DIA","clc_deaths","match_weight","Births, Deaths, Marriages, and Civil unions","DIA",NA
25,"clean_read_DIA","clc_deaths","qsMatchPassNumber","Births, Deaths, Marriages, and Civil unions","DIA",NA
26,"clean_read_DIA","clc_deaths","snz_dia_uid","Births, Deaths, Marriages, and Civil unions","DIA",NA
27,"clean_read_DIA","clc_deaths","snz_dia_uid2","Births, Deaths, Marriages, and Civil unions","DIA",NA
28,"clean_read_DIA","clc_deaths","snz_spine_uid","Births, Deaths, Marriages, and Civil unions","DIA",NA
29,"clean_read_DIA","clc_deaths","snz_uid","Births, Deaths, Marriages, and Civil unions","DIA",NA
30,"ir_ird_to_ent_and_kau_202103","ir_ird_to_ent_and_kau_202102","bdc_managed_collection","Enterprise and Kind-of-activity units","IRD",NA
31,"ir_ird_to_ent_and_kau_202103","ir_ird_to_ent_and_kau_202102","bf_multikau","Enterprise and Kind-of-activity units","IRD",NA
32,"ir_ird_to_ent_and_kau_202103","ir_ird_to_ent_and_kau_202102","ent_industry_code","Enterprise and Kind-of-activity units","IRD",NA
33,"ir_ird_to_ent_and_kau_202103","ir_ird_to_ent_and_kau_202102","ent_number","Enterprise and Kind-of-activity units","IRD",NA
34,"ir_ird_to_ent_and_kau_202103","ir_ird_to_ent_and_kau_202102","ent_valid_from_month","Enterprise and Kind-of-activity units","IRD",NA
35,"ir_ird_to_ent_and_kau_202103","ir_ird_to_ent_and_kau_202102","ent_valid_to_month","Enterprise and Kind-of-activity units","IRD",NA
36,"ir_ird_to_ent_and_kau_202103","ir_ird_to_ent_and_kau_202102","enttokau_key","Enterprise and Kind-of-activity units","IRD",NA
37,"ir_ird_to_ent_and_kau_202103","ir_ird_to_ent_and_kau_202102","gte_number","Enterprise and Kind-of-activity units","IRD",NA
38,"ir_ird_to_ent_and_kau_202103","ir_ird_to_ent_and_kau_202102","kau_industry_code","Enterprise and Kind-of-activity units","IRD",NA
39,"ir_ird_to_ent_and_kau_202103","ir_ird_to_ent_and_kau_202102","kau_number","Enterprise and Kind-of-activity units","IRD",NA
