dataset_id,variable_id,type,refreshes
sla_clean.ird_ir3,snz_uid,int,"20200120,20200720"
sla_clean.ird_ir3,snz_ird_uid,int,"20200120,20200720"
sla_clean.ird_ir3,ir_ir3_return_year_nbr,smallint,"20200120,20200720"
sla_clean.ird_ir3,ir_ir3_snz_unique_nbr,bigint,"20200120,20200720"
sla_clean.ird_ir3,ir_ir3_return_version_nbr,smallint,"20200120,20200720"
sla_clean.ird_ir3,ir_ir3_sic_code,varchar,"20200120,20200720"
sla_clean.ird_ir3,ir_ir3_gross_nz_super_amt,decimal,"20200120,20200720"
sla_clean.ird_ir3,ir_ir3_gross_salary_wages_amt,decimal,"20200120,20200720"
sla_clean.ird_ir3,ir_ir3_withholding_payment_amt,decimal,"20200120,20200720"
sla_clean.ird_ir3,ir_ir3_gross_int_amt,decimal,"20200120,20200720"
sla_clean.ird_ir3,ir_ir3_gross_dividend_amt,decimal,"20200120,20200720"
sla_clean.ird_ir3,ir_ir3_estate_trust_income_amt,decimal,"20200120,20200720"
sla_clean.ird_ir3,ir_ir3_overseas_income_amt,decimal,"20200120,20200720"
sla_clean.ird_ir3,ir_ir3_pship_income_amt,decimal,"20200120,20200720"
sla_clean.ird_ir3,ir_ir3_sholder_income_amt,decimal,"20200120,20200720"
sla_clean.ird_ir3,ir_ir3_rent_income_amt,decimal,"20200120,20200720"
sla_clean.ird_ir3,ir_ir3_selfemp_income_amt,decimal,"20200120,20200720"
sla_clean.ird_ir3,ir_ir3_other_income_amt,decimal,"20200120,20200720"
sla_clean.ird_ir3,ir_ir3_tot_expenses_amt,decimal,"20200120,20200720"
sla_clean.ird_ir3,ir_ir3_taxable_income_amt,decimal,"20200120,20200720"
sla_clean.ird_ir3,ir_ir3_tax_on_taxable_income_amt,decimal,"20200120,20200720"
sla_clean.ird_ir3,ir_ir3_tot_rebate_amt,decimal,"20200120,20200720"
sla_clean.ird_ir3,ir_ir3_family_assist_entmnt_amt,decimal,"20200120,20200720"
sla_clean.ird_ir3,ir_ir3_student_loan_liable_income_amt,decimal,"20200120,20200720"
hlfs_clean.relationship,snz_hlfs_related_uid,int,"20200120,20200720,20201020,20210420,20210720,20211020,202203"
msd_clean.msd_int_description,snz_msd_int_uid,int,"20200120,20200720,20201020,20210420,20210720,20211020,202203,202206,202210,202303,202306,202310"
msd_clean.msd_int_description,msd_int_var_text,varchar,"20200120,20200720,20201020,20210420,20210720,20211020,202203,202206,202210,202303,202306,202310"
msd_clean.msd_int_description,msd_int_label_text,varchar,"20200120,20200720,20201020,20210420,20210720,20211020,202203,202206,202210,202303,202306,202310"
msd_clean.msd_int_description,msd_int_type_code,char,"20200120,20200720,20201020,20210420,20210720,20211020,202203,202206,202210,202303,202306,202310"
msd_clean.msd_int_description,msd_int_char_text,varchar,"20200120,20200720,20201020,20210420,20210720,20211020,202203,202206,202210,202303,202306,202310"
msd_clean.msd_int_description,msd_int_num_nbr,decimal,"20200120,20200720,20201020,20210420,20210720,20211020,202203,202206,202210,202303,202306,202310"
ms_clean.migrant_survey,snz_uid,int,"20200120,20200720,20201020,20210420,20210720,20211020,202203,202206,202210,202303,202306,202310"
ms_clean.migrant_survey,snz_dol_uid,int,"20200120,20200720,20201020,20210420,20210720,20211020,202203,202206,202210,202303,202306,202310"
ms_clean.migrant_survey,ms_mig_survey_year,smallint,"20200120,20200720,20201020,20210420,20210720,20211020,202203,202206,202210,202303,202306,202310"
ms_clean.migrant_survey,ms_mig_method_code,char,"20200120,20200720,20201020,20210420,20210720,20211020,202203,202206,202210,202303,202306,202310"
ms_clean.migrant_survey,ms_mig_age_group_code,char,"20200120,20200720,20201020,20210420,20210720,20211020,202203,202206,202210,202303,202306,202310"
ms_clean.migrant_survey,ms_mig_child_less18_code,char,"20200120,20200720,20201020,20210420,20210720,20211020,202203,202206,202210,202303,202306,202310"
ms_clean.migrant_survey,ms_mig_partner_spouse_code,char,"20200120,20200720,20201020,20210420,20210720,20211020,202203,202206,202210,202303,202306,202310"
ms_clean.migrant_survey,ms_mig_visa_code,char,"20200120,20200720,20201020,20210420,20210720,20211020,202203,202206,202210,202303,202306,202310"
ms_clean.migrant_survey,ms_mig_reside_nz_code,char,"20200120,20200720,20201020,20210420,20210720,20211020,202203,202206,202210,202303,202306,202310"
ms_clean.migrant_survey,ms_mig_reside_other_code,char,"20200120,20200720,20201020,20210420,20210720,20211020,202203,202206,202210,202303,202306,202310"
ms_clean.migrant_survey,ms_mig_region_live_code,char,"20200120,20200720,20201020,20210420,20210720,20211020,202203,202206,202210,202303,202306,202310"
ms_clean.migrant_survey,ms_mig_empnz_01_code,char,"20200120,20200720,20201020,20210420,20210720,20211020,202203,202206,202210,202303,202306,202310"
ms_clean.migrant_survey,ms_mig_empnz_02_code,char,"20200120,20200720,20201020,20210420,20210720,20211020,202203,202206,202210,202303,202306,202310"
ms_clean.migrant_survey,ms_mig_empnz_03_code,char,"20200120,20200720,20201020,20210420,20210720,20211020,202203,202206,202210,202303,202306,202310"
